postCompany,text,numShares,numLikes,numComments,real_time,extracted_comments
getwriter,"We’re on a conference streak! Fresh off an incredible #CES2025, I’m now heading to #NRF2025 in NYC. This time, it’s all about how retailers are using generative AI to completely transform their businesses.

From getting products to market faster to hyper-personalizing customer experiences and reimagining workflows with smarter, automated decision-making, retailers are unlocking more time for the big, creative, and strategic work that drives real impact.

Can’t wait to dive in and showcase what’s real and in production today!

#NRF #RetailAI #CPGAI",3,39,2,2025-01-13 17:36:08.812,"[""Love the (measured) approach here.  AI doesn't do everything, but you can't ignore the productivity gains.  And the other big one is how it enables you to explore more options before making a decision.  Great post.""]"
getwriter,"The one slide that every executive I met wanted to double click into at CES....

What makes agents different than the AI app or copilot of last year?

They can self-orchestrate.

If you give them a goal they can reference available components and come up with the necessary sequence of steps to solve it.

Except, we know first-hand how complex enterprise workflows are — we're reinventing them alongside our customers at Writer.

They're SO complex that even the executives, mangers, and teams at those companies can have a hard time articulating exactly what goes into them.

Anyone telling you agents are going to be able to understand these workflows on the fly doesn't actually understand this complexity.

You mostly DON'T want your AI agents totally self-orchestrating.

Today to see real ROI with AI agents you need CONTROLS. You need a design pattern that can capture the nuanced way your teams work so that your agents can plug in and assist with your mission critical workflows.

You need orchestration.

An orchestration layer that can help guide agents — to the right AI app with business logic, to the right tools you need to interact with your systems and data, and to the right people to approve, monitor, and contribute.

AND YET — the technology alone is not enough.

You need the expertise in the actual complexity of the workflow. 

Brush up on those business process mapping skills folks. 

It's the new prompt engineering.",46,658,53,2025-01-13 16:13:06.258,"['Ozzie Saeed', 'Vishal Kumar', ""Absolutely agree May Habib ! Your insight on controlled orchestration versus complete AI autonomy is spot-on. It’s fascinating how self-orchestrating agents can streamline processes, but without a clear framework, they risk becoming overwhelmed by that very complexity. Balancing AI capabilities with human expertise through a guided orchestration layer isn't just crucial - it's the key to sustainable automation success."", ""One of the most realistic, responsible, and optimistic takes on AI agent potential and our role in controlling and orchestrating that I've seen lately. Anyone who has worked in enterprise knows that the current hype around AI agents without business process mapping and responsible controls and orchestration will lead to\xa0 brutal reality checks. One of the reasons I respect companies like Writer that aren't claiming AI will take over the world and replace humans, but are actually taking a responsible and sustainable approach to utilizing AI potential to transform enterprises."", 'The balance between autonomy and structure is where the magic happens.', 'So true!', 'You mean just download the APQC Process Classification framework for your industry? Who knew BPM from 20 years ago would be useful again.', 'And you need a robust integration layer. ', '“You need the expertise in the actual complexity of the workflow.”\n\nEXACTLY.', 'At the end, it\'s a ""Human-centered AI design"". :-)\n thanks  for sharing']"
getwriter,"As I’m sure everyone has been shouting from the rooftops, “2025 is the year of AI agents!”. But let’s be real—most of what’s being said is vague, high-level fluff that sounds impressive but tells you nothing useful. So, let’s cut through the noise and talk about the actual levels and details of LLM agents—because not all agents are created equal, and no, they’re not magical AI fairies that solve everything.
Here’s a breakdown of LLM agent types (without the buzzword salad):

1️⃣ Basic LLM Agents
📌 For when you just need a no-drama, straightforward solution.
What they do: Take a simple input, spit out a coherent response. That’s it.
Use Cases:
- Writing emails or blogs.
- Answering simple questions.
Example: Ask it to draft a blog about AI in healthcare, and boom—you’ve got a passable first draft. Easy peasy.

2️⃣ CoT Agents (Chain of Thought)
📌 The overthinkers of the AI world.
What they do: Break down complex tasks into logical, step-by-step reasoning. Great for when you need the ""how"" behind the answer.
Use Cases:
- Analyzing legal docs.
- Solving multi-step math problems.
Example: Reviewing a legal contract clause by clause and telling you why you probably shouldn’t sign it.

3️⃣ RAG Agents (Retrieval-Augmented Generation)
📌 Because sometimes, even AI needs to Google things.
What they do: Fetch relevant information from external sources and combine it with generative capabilities.
Use Cases:
- Personalized customer support.
- Knowledge management.
Example: Pulling up medical research on a rare disease and generating a detailed treatment recommendation.

4️⃣ ReAct Agents (Reasoning and Acting)
📌 The multitaskers who act and think (we love an efficient king).
What they do: Integrate reasoning with real-time decision-making. Perfect for dynamic, on-the-fly problem-solving.
Use Cases:
- Interactive chatbots.
- Managing supply chain issues.
Example: Noticing inventory shortages, reordering products, and adjusting based on real-time data—all in one go.

5️⃣ Planning Agents
📌 The strategic masterminds (think AI meets chess grandmaster).
What they do: Create action plans to optimize long-term goals, adapting to changes as they go.
Use Cases:
- Business workflow.
- Business strategy.
Example: Planning the safest, most efficient driving route for an autonomous vehicle.

Now that we’ve cut through the high-level fluff, here’s the kicker: building these agents is hard. But it doesn’t have to be—for you, at least.
With Writer, you don’t need to worry about backend complexity. We’re the only platform that offers a full-stack generative AI solution, so you can focus on building impactful agents without sweating the tech.",51,522,39,2025-01-11 21:29:07.830,"['Waseem Alshikh Super a great digestible way to think about agents. Love this.', 'And even more interesting is that during the typical day, how many times do we - as humans - go in and out of these types of ""models"" in our own heads? It means that any agentic AI system will also need to be able to reason and navigate these models itself, to get any job done. So yes you can separate out the things like business workflow and strategy, or discover and plan to resolve supply chain issues, or look at legal docs, or send the emails... but those things don\'t live in isolation. During those activities, emails need to be sent, summaries need to be made, tools need to be updated, decisions need to be made, people need to be informed (and motivated, convinced and inspired to action).  People weave in and out of these things naturally... and to get AI and GenAI to do this equally well, and be comfortable and confident deploying agentic AIs into the workforce - this will be the definitive challenge of 2025! But I\'m glad companies like Writer are helping to lead the way in this massively transformative time!', 'This breakdown of LLM agent types is both clear and practical. How do you see businesses prioritizing these agent types based on their unique workflows and challenges?', 'Finally, a post that doesn’t treat AI agents like magical unicorns solving world peace!\n\n Love the straightforward breakdown—it’s like a cheat sheet for navigating the LLM Jungle.The real magic isn’t in these agents alone—it’s in how we choreograph them together. Imagine a ReAct agent solving supply chain hiccups while a CoT agent handles the strategy behind it all. Symphony or circus? Depends on how well we orchestrate.', 'I would like to see (or would have like to have seen here) some time axis. My guess is ReAct and Planning agents are not yet ready for prime-time. Is there any company on Earth ready to hand over supply chain issues to an autonomous ""agent""? Is there an autonomous agent that could run a supply chain (or even a bar in a club on a busy Friday night?)?', 'I would add the multi-agent framework, with its need for orchestration, to this. Task-specific agents will work together according to the data and generation they need to perform. Logics and ""cognitive architectures"" such as CoT, RAG, and Planning can all be combined and even governed by meta agents that engage task agents in evaluation each others\' outputs. So I thnik the strategic investment quadrant really ought to reflect the framework of multi-agent networks or ecosystems (however you want to define it).', 'Waseem, I don’t think anyone calls these techniques “AI agents” in the community… definitely not the few shot and CoT “Agents” since there is no agency there. \n\nby agency, ppl typically mean that an action has been taken. Purists will add that agentic AI is when an action is taken by the LLM itself, feedback is received from that action, and this feedback informs the next action or answer from the LLM. \n\nWith that definition, you could, at most, add RAG as an AI agent if and only if the decision to use RAG is done by the same LLM that replies. \n\nOtherwise, you the human has decided that RAG is always used deterministically, and the information that is sent to the LLM is no different than having an informative prompt…\n\nTLDR: I think your post confuses more than helps, since it makes no difference between Agentic AI vs just text completion with LLMs.', 'Still waiting for someone demonstrating they have a clear idea on what a ""Planning Agent"" is 🙃 ', 'Welcome good old software  engineering !', 'Very informative! Good POV']"
getwriter,"🎙️ Weekend listening: Our final episode of #HumansofAI Season 2 features a fireside chat with Writer CEO May Habib and CMO Diego Lomanto. It's a great companion piece to May and Diego's sessions at #CES2025, so definitely give the pod a listen! 

In this episode you'll learn more about May’s perspective on the future of Writer, our goal of developing intelligent, accurate, and trustworthy AI systems with a focus on human-centered design.

Listen now. 🎧 > https://ow.ly/Wk8v50UENK7",2,33,0,2025-01-11 17:09:37.101,[]
getwriter,"Accenture 🤝 Writer

We LOVE seeing our partnership with Accenture come to life in so many ways at #CES2025! 👏 From meetings with customers, to booth conversations in the Innovation Hub, to workshops and evening events — we can't wait to see what we'll achieve together in 2025! 🚀 

All under the leadership of these remarkable executives, Accenture CEO Julie Sweet and Writer CEO May Habib ✨",12,277,3,2025-01-09 19:30:01.406,"['Great pic!', 'Rock stars!', '💟💟💟']"
getwriter,"How can brands build emotional connections at scale with customers? And what role can AI play in this process?

May sat down with Michelle Taite, CMO of Intuit Mailchimp, to discuss the future of brand loyalty and marketing at the Brand Innovators Leadership Summit at #CES2025.

Key takeaways from their conversation:

🔹 Trust is King: In an era of information overload, trust is crucial for brand loyalty. Over 70% of consumers expect personalized experiences, and 47% make purchase decisions based on brand trust. Trust is built over time but can be lost quickly. Michelle emphasized that while brands aim to create a seamless customer journey, consumers often value promotions and discounts, which can also build trust.

🔹 Sincere Personalization: Personalization is no longer a luxury but a necessity. Consumers expect brands to use their data to deliver high-value, relevant experiences. Michelle shared an example from Airbnb, where a search for a beach vacation led to personalized results featuring pianos with a view, which created a deeper connection based on her unique interests. This level of personalization requires sophisticated data instrumentation and activation.

🔹 Shared Courage: Courageous acts by brands can be contagious. When a brand takes bold, innovative actions, it can inspire customers to be more courageous in their interactions with the brand. This shared courage helps build a strong, loyal community. Michelle highlighted that brands that take risks and innovate are more likely to resonate with their audience and foster long-term loyalty.

🔹 The Future of Email: Despite the rise of AI and other communication channels, email remains a powerful tool for building emotional connections. Michelle reminded us that email is the highest ROI channel for marketers. Mailchimp uses predictive analytics and generative AI to create highly targeted and visually appealing emails, ensuring that marketers can keep up with the vast amounts of data available.

May and Michelle’s full conversation from #BISummit will soon be available for on-demand viewing, so stay tuned! 📺",2,100,3,2025-01-09 16:15:02.145,['wonderful to do this with you Michelle Taite!!! ']
getwriter,"It's Vegas so you gotta bring the star wattage 🌟 

Writer CEO May Habib joined media and venture icon Jeffrey Katzenberg at #CES2025 for some real talk to enterprise leaders about their AI journeys. She was part of a speaker lineup at the Shelly Palmer Innovation Breakfast Series which included Mark Cuban, X CEO Linda Yaccarino, and Tubi CEO Anjali Sud 💥 

May had a clear call-to-action for this audience of enterprise executives: 
YOU have to be in the driver's seat in delivering AI to your companies.

""The success of our generative AI programs - from Goldman Sachs to Franklin Templeton to Kenvue to L'Oreal to Mars - is the partnership of the chief digital officers and the chief marketing officers with their CIOs, who actually get the change. If you allow yourself to be a PASSENGER in this transformation instead of a DRIVER, your companies are not going to be able to do what you need to do."" 

Huge thanks to 3C Ventures CEO Michael Kassan and Shelly Palmer himself for moderating this insightful and entertaining event!",5,164,2,2025-01-08 21:16:56.911,"[""Writer May's insight highlights the need for executives to lead AI transformations, not just follow. True success comes from cross-functional collaboration that aligns technology with strategic business goals."", 'Super fun Jeffrey Katzenberg  Shelly Palmer Michael Kassan']"
getwriter,"Second panel at #CES2025 ✅

What a thrill to join so many fantastic leaders to discuss Beyond's AI Marketing Hype Cycle.

My top takeaways:

🔹 AI’s Impact on Marketing: The panel talked about how in the past year, marketers (like many functions) have evolved their thinking “from the wow to the how of AI”. While there has been progress — our customers are living proof — there's still a way to go to integrate AI across the entire marketing operation for the greatest impact.

🔹 ​​The Role of AI in Improving Efficiency and Productivity: Some great panelist quotes on this topic: ""If you look at who are gonna be all winners in AI, it's those who are gonna be able to figure out how to tie planning and measurement and activation together with the same common layer""...""We have to find the mission-critical use case that others are starting to see success from and think about how you're gonna rebuild that use case from the ground up to be AI first.""

🔹 Maintaining Trust in a Data-Driven World: While AI can provide valuable insights, these insights must align with a deep understanding of the consumer, maintaining their trust and ensuring their data is handled responsibly. “The key is not more data…rather, it is how are we using AI to translate and activate on the data.”

A special shout-out to session sponsor MediaLink and my fellow panelists: Cognitiv’s Aaron Andalman, Basis Technologies’ Tyler Kelley, Amgen’s Erin (Monaco) Nocito, The Weather Company’s Randi Stipes, MediaLink’s Mark Wagman, and our moderator David Cohen from IAB. Such an honor to be on stage with you all! 🙏",1,81,2,2025-01-08 16:09:40.332,"['Some great market validation of the architectural approach that Writer has taken with respect to helping Enterprises get this right! 👏 ', 'Thanks for a great session recap, Diego Lomanto! 👏']"
getwriter,"Look who we ran into at #CES2025 👀 May and Mark Cuban talking AI and innovation at Fortune’s #BrainstormTech Dinner. 🧠 Thanks for stopping by, Mark! 🤝",0,459,13,2025-01-07 22:20:34.699,"['Yay May!', 'Writer May Habib I hope he knew he was talking to a Power Player in the AI world! I hope he got your autograph. ', 'Love this!!', 'Awesome!  Just out of curiosity, how many women were in the room? Way to represent, May Habib!', '🤩', 'So cool!', '🐐🐐 ', ""I'm sure this was quite the conversation. "", 'great to meet you Mark Cuban and great interview Andrew Nusca!! \n', 'Cool!']"
getwriter,"🎙️ May recently joined Jared S. Taylor on the Slice of Technology podcast to discuss a range of topics, from Writer's ""Aha"" moment, to our vision in the enterprise, to May's leadership insights along the journey. It's a great conversation on Jared's pod in collaboration with HumanX 🎧 

We're looking forward to May also speaking at the #HumanX2025 conference on March 10-13! 🗓️ Check out the agenda and register today: https://www.humanx.co",2,41,2,2025-01-07 20:07:20.387,['You rock May Habib! 👏 ']
getwriter,"💥 And we're off and running in 2025! 

This week I'll be at #CES2025 in Las Vegas — where generative AI is taking center stage, and the Writer team will be speaking at various events and meeting with our customers and partners! 

Here are two sessions I'll be speaking at:
📅 Jan. 8,  8:15am PT, Wynn Resort
Roundtable discussion with the one and only Jeffrey Katzenberg
Request invitation at https://lnkd.in/gYqkXf2r 

📅 Jan. 8,  1:50pm PT, Wynn Resort, Lafite Ballroom
Fireside chat with the brilliant Michelle Taite, CMO at Intuit Mailchimp 
Register at https://lnkd.in/gKRhjif4 

Our own CMO Diego Lomanto (you MUST hear him speak sometime in '25) is also speaking at multiple events, and we’ll be onsite with other Writer leaders including Kevin Chung (who catches every party at CES, don't know how he does it, I'm asleep by 10pm), Alex Wettreich, and Zayed Yasin.

If you’re attending CES, let’s connect!

Also PSA — can we PLEASE get more women to CES? The airport visa lines and the badge pickups and my hotel checkins when I was there were all literally 2-3 women for every 100 guys....are we seriously going to have humanoid robots in our homes before we have even 25% female representation at CES?",9,360,22,2025-01-06 23:00:05.179,"[""May Habib congrats on the raise! 💫\nI also heard you might be seeking a gritty  chief with startup experience?\nI'm interested! 🤝🏽"", ""Wow, you're diving into 2025 with a bang! Engaging with AI at CES is a game-changer.  \n\nHoping to see more women taking the stage soon!  May Habib"", 'Kudos cousin!! Way to go 💪🏼💪🏼', ""Absolutely! The lack of female representation at CES is a glaring issue we can't ignore. \n\nIt's time for a shift in the tech narrative!  May Habib"", 'Zayed Yasin and Kevin Chung - hi! Love how small the world is sometimes :) ', 'Enjoy!', 'Sorry for the ratio but glad you’ll be there. Let’s have a #Fempire dinner there next year to bring women attending together for a stronger combined force. Fempire Ecosystem', ""Hi Mary! I will be at CES and would love to connect with you. I've got an idea I want to run by you! Also... we should stage a female flash mob at CES. 😎 Like this: https://www.youtube.com/watch?v=-T5aqAHr0eo"", 'Sounds like an incredible lineup at CES2025! Your sessions with Jeffrey Katzenberg and Michelle Taite are sure to be highlights—wishing you and the Writer team an amazing week. Totally agree on the need for better representation—let’s hope 2025 sparks some change!', 'I feel you May Habib - I have seen many disproportional rooms over the last few years. Happy we are working together to balance it more! Awareness is key to progress!']"
getwriter,"In tech, there’s no better way to jump-start the new year than by attending CES. Team Writer will be there all week and we hope to see you in Vegas! 🎉

It’s no surprise that AI is being featured at #CES2025 — with the opening keynote by Jensen Huang, and our CEO May Habib’s sessions with leaders such as Jeffrey Katzenberg and Michelle Taite. 

I also have the fortune of speaking at two sessions:

📅 Jan. 7,  11:05am PT, Wynn Resort
Reimagining Customer Engagement: The Role of AI and Personalization
I’ll be moderating a panel hosted by Brand Innovators and featuring these amazing leaders:
🔹Liana Cárdenas Cave, Senior Director, Content Orchestration, Hilton
🔹Chelsea Delbridge, Senior Director of Content Marketing, Overwatch, Blizzard Entertainment

Register at https://lnkd.in/eQEWtVAG 

📅 Jan. 7,  4:00pm PT, The Aria, Joshua 9
Beyond AI’s Marketing Hype Cycle
I’m honored to participate on a panel sponsored by MediaLink alongside this distinguished group:
🔹Aaron Andalman, Chief Science Officer & Co-founder, [tag] Cognitiv
🔹David Cohen, CEO, IAB (moderator)
🔹Tyler Kelly, President, Basis Technologies
🔹Erin (Monaco) Nocito, Head of global media, Amgen
🔹Randi Stipes, CMO, The Weather Company
🔹Mark Wagman, Managing Director, MediaLink 

Register at https://lnkd.in/eN3nAWUq 

In addition to May and myself, there will be a strong Writer contingent in Vegas this week. If you’ll be there, DM or comment — let’s connect!",1,101,0,2025-01-06 18:54:39.738,[]
getwriter,"“Writer has unlocked incredible efficiency for Go1, equipping our global marketing and sales development teams to create high-quality, localized content at scale. It’s saved us significant time and resources while helping us get to market faster.”

Discover why the team at Go1 selected Writer to address their go-to-market challenges at scale, and how they've achieved results across several use cases, including:

📑 1/2 time to complete RFPs
⏰ 40% time savings for marketing campaigns

Read the full story at https://ow.ly/WR0p50UAe9o",0,8,0,2025-01-06 18:01:24.063,[]
getwriter,"CES 2025 is here! 🎉 If you're in Las Vegas, come meet Writer executives and team leaders at events throughout the week. 🌟 

We've got an incredible lineup of sessions featuring Writer CEO May Habib and CMO Diego Lomanto, who will be speaking alongside other industry leaders and global brands. Here's a quick rundown:

🗓️ Date: January 7  ⏰ Time: 11:05am PT
* Panel: Reimagining Customer Engagement: The Role of AI and Personalization
* Speakers
🔹 Diego Lomanto, CMO, Writer (moderator)
🔹 Liana Cárdenas Cave, Content Orchestration, Hilton 
🔹 Chelsea Delbridge, Senior Director of Content Marketing, Overwatch, Blizzard Entertainment
🔗 Registration: https://lnkd.in/gznDmxuw (Host: Brand Innovators)

🗓️ Date: January 7  ⏰ Time: 4:00pm PT
* Panel: Beyond AI’s Marketing Hype Cycle
* Speakers:
🔹 Aaron Andalman, Chief Science Officer & Co-founder, Cognitiv 
🔹 David Cohen, CEO, IAB (moderator)
🔹 Tyler Kelly, President, Basis Technologies 
🔹 Diego Lomanto, CMO, Writer
🔹 Erin (Monaco) Nocito, Head of global media, Amgen 
🔹 Randi Stipes, CMO, The Weather Company 
🔹 Mark Wagman, Managing Director, MediaLink 
🔗 Registration: https://ow.ly/OwQ750UyQzm (Sponsor: MediaLink)

🗓️ Date: January 8  ⏰ Time: 8:15am PT
* Roundtable: Shelly Palmer Innovation Series Breakfast
* Speakers:
🔹 May Habib, CEO and Co-founder, Writer
🔹 Michael Kassan, Founder & CEO, 3C Ventures (moderator)
🔹 Jeffrey Katzenberg, Founding Partner, WndrCo
🔗 Request invitation: https://lnkd.in/gYqkXf2r (Host: 3C Ventures)

🗓️ Date: January 8 ⏰ Time: 1:50pm PT
* Fireside: Building Emotional Connections at Scale to Redefine Brand Loyalty
* Speakers: 
🔹 May Habib, CEO and Co-founder, Writer (moderator)
🔹 Michelle Taite, CMO, Intuit Mailchimp
🔗 Registration: https://lnkd.in/gznDmxuw (Host: Brand Innovators)

The extended Writer team will also be attending events and sessions throughout the week and would love to connect! If you see our colleagues including Kevin Chung, Alex Wettreich, Zayed Yasin, Matt Sobel and many others, please say hello! 👋 

What are you most looking forward to hearing about at #CES2025? Share your thoughts below 👇",3,44,0,2025-01-06 16:30:46.567,[]
getwriter,"🎧 As we embrace a new year with new challenges, here's some weekend listening to help inspire 🎧 

Umar Jamil has always been fascinated by complex problems. It’s this curiosity that led him to where he is now, a machine learning researcher at Writer. 

“This is one of the reasons I got into computer science in the first place,” Umar explains. “I started coding when I was very young, mostly because I was using the computers but I wanted to learn how to make these programs I’m using everyday.”

His first coding project? A calculator, at age 10. 

🎙️ Enjoy the full episode of our Humans of AI podcast wherever you listen: https://ow.ly/IffR50UzEsJ",1,88,0,2025-01-04 17:01:00.771,[]
getwriter,"Join our Writer executives at #CES2025! 🌟 We're excited to partner with Brand Innovators and their community of leaders from the world's top brands. 💥 Here are two of the sessions we'll be leading at the Marketing Leadership #BISummit:

🗓️ Date: January 7  ⏰ Time: 11:05am PT
* Panel session: Reimagining Customer Engagement: The Role of AI and Personalization
* Speakers
🔹 Diego Lomanto, CMO, Writer (moderator)
🔹 Liana Cárdenas Cave, Senior Director, Content Orchestration, Hilton 
🔹 Chelsea Delbridge, Senior Director of Content Marketing, Overwatch, Blizzard Entertainment

🗓️ Date: January 8  ⏰ Time: 1:50pm PT
* Fireside chat: Building Emotional Connections at Scale to Redefine Brand Loyalty
* Speakers: 
🔹 May Habib, CEO, Writer (moderator)
🔹 Michelle Taite, CMO, Intuit Mailchimp

🔗 Full #BISummit agenda: https://lnkd.in/gznDmxuw",3,16,0,2025-01-03 20:42:46.847,[]
getwriter,"Headed to CES 2025? Don't miss this Roundtable Discussion with Writer CEO May Habib and WndrCo Founding Partner Jeffrey Katzenberg at the Innovation Breakfast Series hosted by 3C Ventures 🌟 

The discussion will be moderated by 3C Ventures CEO Michael Kassan, with additional event details below.

Stay tuned for more on where to find Writer at #CES2025!",1,21,0,2025-01-03 15:38:47.470,[]
getwriter,"Placing AI budgets, oversight, and strategy within the CIO's office aligns technology with core strategies. But what does this look like? As May discusses in her latest blog post, the CIO is the new change management officer.

By focusing on education, partnerships, and dedicated AI program management, CIOs can empower enterprises to successfully integrate generative AI and tap into its full potential.

Read more about this evolving role 👉 https://ow.ly/Ob1C50UyCwK

#GenerativeAI #EnterpriseAI #CIO",0,25,0,2025-01-02 21:05:12.681,[]
